insert into graduacao values (1923539, 5);
insert into graduacao values (1923540, 48);
insert into graduacao values (1923541, 32);
insert into graduacao values (1923542, 93);
insert into graduacao values (1923543, 42);
insert into graduacao values (1923544, 85);
insert into graduacao values (1923545, 81);
insert into graduacao values (1923546, 25);
insert into graduacao values (1923547, 30);
insert into graduacao values (1923548, 83);
insert into graduacao values (1923549, 21);
insert into graduacao values (1923550, 72);
insert into graduacao values (1923551, 1);
insert into graduacao values (1923552, 97);
insert into graduacao values (1923553, 31);
insert into graduacao values (1923554, 98);
insert into graduacao values (1923555, 74);
insert into graduacao values (1923556, 60);
insert into graduacao values (1923557, 91);
insert into graduacao values (1923558, 62);
insert into graduacao values (1923559, 96);
insert into graduacao values (1923560, 74);
insert into graduacao values (1923561, 85);
insert into graduacao values (1923562, 11);
insert into graduacao values (1923563, 5);
insert into graduacao values (1923564, 18);
insert into graduacao values (1923565, 26);
insert into graduacao values (1923566, 98);
insert into graduacao values (1923567, 33);
insert into graduacao values (1923568, 96);
insert into graduacao values (1923569, 50);
insert into graduacao values (1923570, 52);
insert into graduacao values (1923571, 19);
insert into graduacao values (1923572, 60);
insert into graduacao values (1923573, 92);
insert into graduacao values (1923574, 46);
insert into graduacao values (1923575, 32);
insert into graduacao values (1923576, 17);
insert into graduacao values (1923577, 9);
insert into graduacao values (1923578, 51);
insert into graduacao values (1923579, 50);
insert into graduacao values (1923580, 55);
insert into graduacao values (1923581, 60);
insert into graduacao values (1923582, 28);
insert into graduacao values (1923583, 93);
insert into graduacao values (1923584, 56);
insert into graduacao values (1923585, 61);
insert into graduacao values (1923586, 31);
insert into graduacao values (1923587, 74);
insert into graduacao values (1923588, 98);
insert into graduacao values (1923589, 25);
insert into graduacao values (1923590, 42);
insert into graduacao values (1923591, 97);
insert into graduacao values (1923592, 17);
insert into graduacao values (1923593, 41);
insert into graduacao values (1923594, 25);
insert into graduacao values (1923595, 97);
insert into graduacao values (1923596, 26);
insert into graduacao values (1923597, 77);
insert into graduacao values (1923598, 26);
insert into graduacao values (1923599, 33);
insert into graduacao values (1923600, 55);
insert into graduacao values (1923601, 18);
insert into graduacao values (1923602, 67);
insert into graduacao values (1923603, 13);
insert into graduacao values (1923604, 36);
insert into graduacao values (1923605, 8);
insert into graduacao values (1923606, 43);
insert into graduacao values (1923607, 18);
insert into graduacao values (1923608, 97);
insert into graduacao values (1923609, 99);
insert into graduacao values (1923610, 98);
insert into graduacao values (1923611, 60);
insert into graduacao values (1923612, 78);
insert into graduacao values (1923613, 65);
insert into graduacao values (1923614, 75);
insert into graduacao values (1923615, 31);
insert into graduacao values (1923616, 20);
insert into graduacao values (1923617, 9);
insert into graduacao values (1923618, 54);
insert into graduacao values (1923619, 78);
insert into graduacao values (1923620, 63);
insert into graduacao values (1923621, 61);
insert into graduacao values (1923622, 70);
insert into graduacao values (1923623, 30);
insert into graduacao values (1923624, 80);
insert into graduacao values (1923625, 89);
insert into graduacao values (1923626, 53);
